day,title,theme,releaseYear,lowResUrl,notes
1,30 Days of Night,Vampires,2007,,Vampire siege in the Alaskan winter
2,Near Dark,Vampires,1987,,Vampire road movie
3,Abigail,Vampires,2024,,A playful modern vampire pick
4,Nosferatu,Vampires,2024,,Sunday theme finale
5,The Witch,Witchcraft and Hauntings,2016,,Period witchcraft
6,The Craft,Witchcraft and Hauntings,1996,,Teen coven classic
7,Harry Potter and the Deathly Hallows: Part 1,Witchcraft and Hauntings,2010,,Direct sequel to 2025's Harry Potter 6
8,Talk to Me,Witchcraft and Hauntings,2023,,Possession with a modern twist
9,The Autopsy of Jane Doe,Witchcraft and Hauntings,2016,,A mystery with a supernatural turn
10,Obsession,Witchcraft and Hauntings,2026,,2026 horror hit streaming on Peacock
11,The Conjuring: Last Rites,Witchcraft and Hauntings,2025,,Sunday theme finale; HBO Max
12,Get Out,Psychological and Gothic Horror,2017,,Social suspense
13,The Invitation,Psychological and Gothic Horror,2016,,A dinner party with a slow-building threat
14,The Babadook,Psychological and Gothic Horror,2014,,Supernatural grief story
15,The Night House,Psychological and Gothic Horror,2021,,A haunted mystery
16,Companion,Psychological and Gothic Horror,2025,,Recent streaming thriller; HBO Max
17,The Invisible Man,Psychological and Gothic Horror,2020,,Stalking and unseen terror
18,Frankenstein,Psychological and Gothic Horror,2025,,Sunday theme finale; Guillermo del Toro version on Netflix
19,Jaws,Creature Features,1975,,Sea monster classic
20,The Host,Creature Features,2006,,Bong Joon-ho's river monster
21,The Descent,Creature Features,2005,,Cave survival horror
22,Nope,Creature Features,2022,,A modern alien encounter
23,Alien,Creature Features,1979,,Sci-fi horror classic
24,The Ritual,Creature Features,2017,,Folk creature in the woods
25,Five Nights at Freddy's 2,Creature Features,2025,,Sunday theme finale; 2026 streaming debut on Peacock
26,Fear Street: Prom Queen,Slashers and Fate,2025,,Recent Netflix slasher
27,Scream 7,Slashers and Fate,2026,,2026 sequel streaming on Paramount+
28,Black Phone 2,Slashers and Fate,2025,,2026 streaming debut on Peacock
29,Final Destination Bloodlines,Slashers and Fate,2025,,Recent streaming hit; HBO Max
30,Halloween,Slashers and Fate,1978,,The original Michael Myers film
31,Trick 'r Treat,Slashers and Fate,2007,,Halloween night finale
